SESSION_ID,SESSION_START,SESSION_END,SESSION_DURATION,TYPE,EXHIBIT,EXHIBIT_ID,EVENT_START,EVENT_END,EVENT_DURATION,ACTIONS_COUNT
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,,14821.48,14821.81,0.32999999999992724,0
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,,14821.81,14822.23,0.42000000000007276,0
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Gate to Prisoner Compound,87,14822.23,14870.38,48.149999999999636,6
4,14696.84,15314.96,618.119999999999,MAP,,,14870.39,14894.44,24.05000000000109,21
4,14696.84,15314.96,618.119999999999,CONTENT,Exhibit_Neutral's camp,98,14894.44,14943.89,49.44999999999891,1
4,14696.84,15314.96,618.119999999999,MAP,,,14943.94,14946.21,2.2699999999986176,5
4,14696.84,15314.96,618.119999999999,CONTENT,MenuExhibitButton_Crematorium,99,14946.21,15085.71,139.5,4
4,14696.84,15314.96,618.119999999999,MAP,,,15085.76,15086.6,0.8400000000001455,1
4,14696.84,15314.96,618.119999999999,CONTENT,MenuExhibitButton_Neutral's camp,97,15086.6,15116.5,29.899999999999636,1
4,14696.84,15314.96,618.119999999999,MAP,,,15116.53,15118.06,1.5299999999988358,3
4,14696.84,15314.96,618.119999999999,CONTENT,MenuExhibitButton_Workshops,91,15118.06,15182.96,64.89999999999964,2
4,14696.84,15314.96,618.119999999999,MAP,,,15183.01,15183.57,0.5599999999994907,1
4,14696.84,15314.96,618.119999999999,CONTENT,MenuExhibitButton_Concentration Camp Bergen-Belsen,90,15183.57,15307.71,124.13999999999942,2
4,14696.84,15314.96,618.119999999999,MAP,,,15307.78,15314.96,7.179999999998472,5
4,14696.84,15314.96,618.119999999999,END,,,15314.96,15314.96,0.0,1
5,17975.47,18080.19,104.71999999999753,START,,,17975.47,17975.47,0.0,1
5,17975.47,18080.19,104.71999999999753,MAP,,,17975.55,18014.3,38.75,11
5,17975.47,18080.19,104.71999999999753,CONTENT,MenuExhibitButton_Special camp for Jews from Poland,101,18014.3,18060.29,45.9900000000016,3
5,17975.47,18080.19,104.71999999999753,MAP,,,18060.43,18080.19,19.7599999999984,1
5,17975.47,18080.19,104.71999999999753,END,,,18080.19,18080.19,0.0,1
6,23047.64,23097.7,50.06000000000131,START,,,23047.64,23047.64,0.0,1
6,23047.64,23097.7,50.06000000000131,MAP,,,23047.74,23061.92,14.179999999996653,3
6,23047.64,23097.7,50.06000000000131,CONTENT,Exhibit_Crematorium,,23061.92,23065.41,3.4900000000016007,0
6,23047.64,23097.7,50.06000000000131,CONTENT,Exhibit_Crematorium,99,23065.41,23096.67,31.2599999999984,5
6,23047.64,23097.7,50.06000000000131,MAP,,,23096.74,23097.7,0.9599999999991269,1
6,23047.64,23097.7,50.06000000000131,END,,,23097.7,23097.7,0.0,1
